anime_index,related_anime_indices,related_anime_title
67,59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|780|990|991|992|1107|1132|1747|1748|1769|2079|2081|2102|2103|2191|2370|2481|2527|2937|3180|3386|3412|3413|3567|3705|4104|4543|4560|4890|4958|5316|5544|5871|6285|6394|7088|7719|7739|8323|8891|9141|10895|10970|11207|11544|11624|11704|11807|12411|12481|12922|13307|13602,Mobile Suit Gundam | Mobile Suit Gundam: The 08th MS Team | Mobile Suit Gundam 0080: War in the Pocket |  | Mobile Suit Gundam 0083: Stardust Memory | Mobile Suit Zeta Gundam | Mobile Suit Gundam ZZ | Mobile Suit Gundam: Char's Counterattack | Mobile Suit Gundam F91 | Mobile Suit V Gundam | Mobile Suit Gundam Wing | After War Gundam X | Mobile Suit Gundam SEED |  | ∀ Gundam | Mobile Fighter G Gundam | Mobile Suit Gundam SEED MSV Astray |  |  |  |  | Mobile Suit Gundam SEED Destiny Final Plus: The Chosen Future |  |  |  |  | Mobile Suit Gundam Wing: Endless Waltz | Mobile Suit Gundam SEED Destiny Special Edition |  |  | Mobile Suit Gundam 00 |  | Gundam Evolve | Mobile Suit Gundam Wing: Operation Meteor |  | Gundam: Mission To The Rise |  | Mobile Suit Gundam Unicorn | Ring of Gundam |  |  |  | Portrait of the Red |  | Gundam Reconguista in G |  |  |  | 
68,59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|780|990|991|992|1107|1132|1747|1748|1769|2079|2081|2102|2103|2191|2370|2481|2527|2937|3180|3386|3412|3413|3567|3705|4104|4543|4560|4890|4958|5316|5544|5871|6285|6394|7088|7719|7739|8323|8891|9141|10895|10970|11207|11544|11624|11704|11807|12411|12481|12922|13307|13602,Mobile Suit Gundam | Mobile Suit Gundam: The 08th MS Team | Mobile Suit Gundam 0080: War in the Pocket |  | Mobile Suit Gundam 0083: Stardust Memory | Mobile Suit Zeta Gundam | Mobile Suit Gundam ZZ | Mobile Suit Gundam: Char's Counterattack | Mobile Suit Gundam F91 | Mobile Suit V Gundam | Mobile Suit Gundam Wing | After War Gundam X | Mobile Suit Gundam SEED |  | ∀ Gundam | Mobile Fighter G Gundam | Mobile Suit Gundam SEED MSV Astray |  |  |  |  | Mobile Suit Gundam SEED Destiny Final Plus: The Chosen Future |  |  |  |  | Mobile Suit Gundam Wing: Endless Waltz | Mobile Suit Gundam SEED Destiny Special Edition |  |  | Mobile Suit Gundam 00 |  | Gundam Evolve | Mobile Suit Gundam Wing: Operation Meteor |  | Gundam: Mission To The Rise |  | Mobile Suit Gundam Unicorn | Ring of Gundam |  |  |  | Portrait of the Red |  | Gundam Reconguista in G |  |  |  | 
69,59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|780|990|991|992|1107|1132|1747|1748|1769|2079|2081|2102|2103|2191|2370|2481|2527|2937|3180|3386|3412|3413|3567|3705|4104|4543|4560|4890|4958|5316|5544|5871|6285|6394|7088|7719|7739|8323|8680|8891|9141|10895|10970|11207|11544|11624|11704|11807|12411|12481|12922|13307|13602,Mobile Suit Gundam | Mobile Suit Gundam: The 08th MS Team | Mobile Suit Gundam 0080: War in the Pocket |  | Mobile Suit Gundam 0083: Stardust Memory | Mobile Suit Zeta Gundam | Mobile Suit Gundam ZZ | Mobile Suit Gundam: Char's Counterattack | Mobile Suit Gundam F91 | Mobile Suit V Gundam | Mobile Suit Gundam Wing | After War Gundam X | Mobile Suit Gundam SEED |  | ∀ Gundam | Mobile Fighter G Gundam | Mobile Suit Gundam SEED MSV Astray |  |  |  |  | Mobile Suit Gundam SEED Destiny Final Plus: The Chosen Future |  |  |  |  | Mobile Suit Gundam Wing: Endless Waltz | Mobile Suit Gundam SEED Destiny Special Edition |  |  | Mobile Suit Gundam 00 |  | Gundam Evolve | Mobile Suit Gundam Wing: Operation Meteor |  | Gundam: Mission To The Rise |  | Mobile Suit Gundam Unicorn | Ring of Gundam |  |  |  | Portrait of the Red |  |  | Gundam Reconguista in G |  |  |  | 
70,59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|780|990|991|992|1107|1132|1747|1748|1769|2079|2081|2102|2103|2191|2370|2481|2527|2937|3180|3386|3412|3413|3567|3705|4104|4543|4560|4890|4958|5316|5544|5871|6285|6394|7088|7719|7739|8323|8891|9141|10895|10970|11207|11544|11624|11704|11807|12411|12481|12922|13307|13602,Mobile Suit Gundam | Mobile Suit Gundam: The 08th MS Team | Mobile Suit Gundam 0080: War in the Pocket |  | Mobile Suit Gundam 0083: Stardust Memory | Mobile Suit Zeta Gundam | Mobile Suit Gundam ZZ | Mobile Suit Gundam: Char's Counterattack | Mobile Suit Gundam F91 | Mobile Suit V Gundam | Mobile Suit Gundam Wing | After War Gundam X | Mobile Suit Gundam SEED |  | ∀ Gundam | Mobile Fighter G Gundam | Mobile Suit Gundam SEED MSV Astray |  |  |  |  | Mobile Suit Gundam SEED Destiny Final Plus: The Chosen Future |  |  |  |  | Mobile Suit Gundam Wing: Endless Waltz | Mobile Suit Gundam SEED Destiny Special Edition |  |  | Mobile Suit Gundam 00 |  | Gundam Evolve | Mobile Suit Gundam Wing: Operation Meteor |  | Gundam: Mission To The Rise |  | Mobile Suit Gundam Unicorn | Ring of Gundam |  |  |  | Portrait of the Red |  | Gundam Reconguista in G |  |  |  | 
71,59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|780|990|991|992|1107|1132|1747|1748|1769|2079|2081|2102|2103|2191|2370|2481|2527|2937|3180|3386|3412|3413|3567|3705|4104|4543|4560|4890|4958|5316|5544|5871|6285|6394|7088|7719|7739|8323|8891|9141|10895|10970|11207|11544|11624|11704|11807|12411|12481|12922|13307|13602,Mobile Suit Gundam | Mobile Suit Gundam: The 08th MS Team | Mobile Suit Gundam 0080: War in the Pocket |  | Mobile Suit Gundam 0083: Stardust Memory | Mobile Suit Zeta Gundam | Mobile Suit Gundam ZZ | Mobile Suit Gundam: Char's Counterattack | Mobile Suit Gundam F91 | Mobile Suit V Gundam | Mobile Suit Gundam Wing | After War Gundam X | Mobile Suit Gundam SEED |  | ∀ Gundam | Mobile Fighter G Gundam | Mobile Suit Gundam SEED MSV Astray |  |  |  |  | Mobile Suit Gundam SEED Destiny Final Plus: The Chosen Future |  |  |  |  | Mobile Suit Gundam Wing: Endless Waltz | Mobile Suit Gundam SEED Destiny Special Edition |  |  | Mobile Suit Gundam 00 |  | Gundam Evolve | Mobile Suit Gundam Wing: Operation Meteor |  | Gundam: Mission To The Rise |  | Mobile Suit Gundam Unicorn | Ring of Gundam |  |  |  | Portrait of the Red |  | Gundam Reconguista in G |  |  |  | 
72,59|72|73|780|1107|1132|2079|2102|2103|2527,Mobile Suit Gundam | Mobile Suit Gundam SEED |  | Mobile Suit Gundam SEED MSV Astray |  | Mobile Suit Gundam SEED Destiny Final Plus: The Chosen Future |  | Mobile Suit Gundam SEED Destiny Special Edition |  | 
73,72|73|780|1107|1132|2079|2102|2103|2527,Mobile Suit Gundam SEED |  | Mobile Suit Gundam SEED MSV Astray |  | Mobile Suit Gundam SEED Destiny Final Plus: The Chosen Future |  | Mobile Suit Gundam SEED Destiny Special Edition |  | 
74,59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|780|990|991|992|1107|1132|1747|1748|1769|2079|2081|2102|2103|2191|2370|2481|2527|2937|3180|3386|3412|3413|3567|3705|4104|4543|4560|4890|4958|5316|5544|5871|6285|6394|7088|7719|7739|8323|8891|9141|10895|10970|11207|11544|11624|11704|11807|12411|12481|12922|13307|13602,Mobile Suit Gundam | Mobile Suit Gundam: The 08th MS Team | Mobile Suit Gundam 0080: War in the Pocket |  | Mobile Suit Gundam 0083: Stardust Memory | Mobile Suit Zeta Gundam | Mobile Suit Gundam ZZ | Mobile Suit Gundam: Char's Counterattack | Mobile Suit Gundam F91 | Mobile Suit V Gundam | Mobile Suit Gundam Wing | After War Gundam X | Mobile Suit Gundam SEED |  | ∀ Gundam | Mobile Fighter G Gundam | Mobile Suit Gundam SEED MSV Astray |  |  |  |  | Mobile Suit Gundam SEED Destiny Final Plus: The Chosen Future |  |  |  |  | Mobile Suit Gundam Wing: Endless Waltz | Mobile Suit Gundam SEED Destiny Special Edition |  |  | Mobile Suit Gundam 00 |  | Gundam Evolve | Mobile Suit Gundam Wing: Operation Meteor |  | Gundam: Mission To The Rise |  | Mobile Suit Gundam Unicorn | Ring of Gundam |  |  |  | Portrait of the Red |  | Gundam Reconguista in G |  |  |  | 
75,59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|780|990|991|992|1107|1132|1747|1748|1769|2079|2081|2102|2103|2191|2370|2481|2527|2937|3180|3386|3412|3413|3567|3705|4104|4543|4560|4890|4958|5316|5544|5871|6285|6394|7088|7719|7739|8323|8891|9141|10895|10970|11207|11544|11624|11704|11807|12411|12481|12922|13307|13602,Mobile Suit Gundam | Mobile Suit Gundam: The 08th MS Team | Mobile Suit Gundam 0080: War in the Pocket |  | Mobile Suit Gundam 0083: Stardust Memory | Mobile Suit Zeta Gundam | Mobile Suit Gundam ZZ | Mobile Suit Gundam: Char's Counterattack | Mobile Suit Gundam F91 | Mobile Suit V Gundam | Mobile Suit Gundam Wing | After War Gundam X | Mobile Suit Gundam SEED |  | ∀ Gundam | Mobile Fighter G Gundam | Mobile Suit Gundam SEED MSV Astray |  |  |  |  | Mobile Suit Gundam SEED Destiny Final Plus: The Chosen Future |  |  |  |  | Mobile Suit Gundam Wing: Endless Waltz | Mobile Suit Gundam SEED Destiny Special Edition |  |  | Mobile Suit Gundam 00 |  | Gundam Evolve | Mobile Suit Gundam Wing: Operation Meteor |  | Gundam: Mission To The Rise |  | Mobile Suit Gundam Unicorn | Ring of Gundam |  |  |  | Portrait of the Red |  | Gundam Reconguista in G |  |  |  | 
76,76|6171|6758,"Last Exile | Last Exile: Fam, the Silver Wing | Last Exile: Fam, the Silver Wing Recaps"
